Title,Source,URL
"Never doubt the instincts of Donald Trump, who just appointed ‘never Trump guy’ as his running mate | Marina Hyde",The Guardian,https://www.theguardian.com/commentisfree/article/2024/jul/16/donald-trump-never-jd-vance-republican
Trump appears with bandaged ear at Republican national convention,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/15/republican-national-convention-first-night-speeches-marjorie-taylor-greene-tim-scott
Prosecutor Kamala Harris takes on felon Donald Trump,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/24/prosecutor-kamala-harris-takes-on-felon-donald-trump
Why is Donald Trump so obsessed with Hannibal Lecter?,The Guardian,https://www.theguardian.com/culture/article/2024/jul/25/donald-trump-hannibal-lecter
Kamala Harris accuses Trump of ‘backpedaling’ on presidential debate,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/25/kamala-harris-trump-debate
Trump exploits the end of the American dream | Letters,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/04/trump-exploits-the-end-of-the-american-dream
Trump 2020 election interference case resumes after immunity decision,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/02/trump-2020-election-case-resumes
Black journalists were right about Trump. NABJ ignored them |  Shamira Ibrahim,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/01/nabj-trump-interview-black-journalists
Trump in Exile review – reporter depicts Trump after January 6,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/11/trump-exile-book-review-meridith-mcgraw
Donald Trump 2024 campaign says emails were hacked,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/10/trump-campaign-claims-hacked
Harris and Trump agree to televised debate | First Thing,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/09/first-thing-harris-and-trump-agree-to-televised-debate
"As Harris soars, Trump sulks",The Guardian,https://www.theguardian.com/global/article/2024/aug/14/as-harris-soars-trump-sulks
The joke’s on Truss for backing Trump | Brief letters,The Guardian,https://www.theguardian.com/politics/article/2024/aug/18/the-jokes-on-truss-for-backing-trump
"It’s mating season on X, as Musk courts Trump | Stewart Lee",The Guardian,https://www.theguardian.com/commentisfree/article/2024/aug/18/its-mating-season-on-x-as-musk-courts-trump
Robert F Kennedy Jr’s brother ‘heartbroken’ over Trump endorsement,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/25/rfk-jr-brother-heartbroken-trump-endorsement
Harris’s convention speech sparks live rant from outraged Trump,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/23/trump-reaction-harris-dnc-speech
US intelligence officials say Iran behind Trump campaign hack,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/19/us-intelligence-iran-trump-campaign-hack
Special counsel appeals Trump classified documents case dismissal,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/26/special-counsel-appeals-trump-classified-document-case-dismissal
First Thing: Special counsel files revised indictment against Trump,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/28/first-thing-special-counsel-files-revised-indictment-against-trump
Elizabeth Warren condemns Trump for ‘changing his tune’ on IVF,The Guardian,https://www.theguardian.com/us-news/article/2024/aug/31/elizabeth-warren-trump-ivf
Stock plunge wipes out Trump Media’s extraordinary market gains,The Guardian,https://www.theguardian.com/business/article/2024/sep/04/trump-media-djt-stock
Seth Meyers on Donald Trump: ‘He’s just getting weirder’,The Guardian,https://www.theguardian.com/culture/article/2024/sep/04/seth-meyers-donald-trump-late-night-tv
Trump-backed Senate candidate caught on tape disparaging Native Americans,The Guardian,https://www.theguardian.com/us-news/article/2024/sep/04/tim-sheehy-native-americans-montana-senate-candidate-republican
Advisers worry whether ‘happy Trump’ or ‘angry Trump’ will show up to debate,The Guardian,https://www.theguardian.com/us-news/article/2024/sep/09/trump-debate-campaign-fears
Is Taylor Swift a secret Trump supporter? | Arwa Mahdawi,The Guardian,https://www.theguardian.com/commentisfree/article/2024/sep/10/is-taylor-swift-a-trump-supporter-internet-theories
Apparent Trump assassination attempt: what we know so far,The Guardian,https://www.theguardian.com/us-news/2024/sep/16/trump-golf-club-shooting-what-we-know-so-far-about-apparent-assassination-attempt
Is Donald Trump a fascist? ,The Guardian,https://www.theguardian.com/us-news/2024/sep/21/is-donald-trump-a-fascist
Trump golf course ‘assassination attempt’ – a visual guide,The Guardian,https://www.theguardian.com/us-news/2024/sep/16/assassination-attempt-donald-trump-florida-explained-maps-and-images
Gretchen Whitmer calls Trump ‘deranged’ after comments on abortion,The Guardian,https://www.theguardian.com/us-news/2024/sep/22/gretchen-whitmer-calls-trump-deranged-after-comments-on-abortion
Donald Trump briefed on suspected Iranian assassination plot,The Guardian,https://www.theguardian.com/us-news/2024/sep/25/trump-iran-assassination-plot
Justice department charges Iranian operatives in Trump campaign hack,The Guardian,https://www.theguardian.com/us-news/2024/sep/27/charges-iran-trump-campaign-hack
Lucky Loser review – how Donald Trump squandered his wealth,The Guardian,https://www.theguardian.com/books/2024/sep/26/lucky-loser-review-how-donald-trump-squandered-his-wealth
‘More Trump than Trump’: JD Vance becomes effective Maga messenger,The Guardian,https://www.theguardian.com/us-news/ng-interactive/2024/sep/30/jd-vance-trump-profile
Melania Trump passionately defends abortion rights in upcoming memoir,The Guardian,https://www.theguardian.com/us-news/2024/oct/02/melania-trump-memoir-defends-abortion-rights
Nevada Republicans dismiss 43ft nude Trump effigy as ‘deplorable’,The Guardian,https://www.theguardian.com/us-news/2024/oct/01/naked-trump-statue-nevada-republicans
Trump insults Detroit during speech … in Detroit,The Guardian,https://www.theguardian.com/us-news/2024/oct/10/trump-calls-detroit-michigan-mess
Melania by Melania Trump review – a blame-dodging masterclass,The Guardian,https://www.theguardian.com/us-news/2024/oct/13/melania-trump-memoir-review
Fema chief warns ‘dangerous’ Trump falsehoods hampering Helene response,The Guardian,https://www.theguardian.com/us-news/2024/oct/07/hurricane-helene-trump-misinformation
"In swing state push, Harris calls Trump ‘unstable and unhinged’ as Trump ups hateful rhetoric - as it happened",The Guardian,https://www.theguardian.com/us-news/live/2024/oct/19/kamala-harris-donald-trump-rallies-us-politics-elections
Donald Trump takes his dance cue from Shrek | Brief letters,The Guardian,https://www.theguardian.com/us-news/2024/oct/17/donald-trump-takes-his-dance-cue-from-shrek
Secret Service needs ‘fundamental reform’ after Trump rally shooting,The Guardian,https://www.theguardian.com/us-news/2024/oct/17/secret-service-trump-assassination-attempt-report
"Fascism, Donald Trump and George Orwell | Letters",The Guardian,https://www.theguardian.com/us-news/2024/oct/25/fascism-donald-trump-and-george-orwell
Sexual misconduct allegations against Donald Trump – a timeline,The Guardian,https://www.theguardian.com/us-news/2024/oct/25/trump-sexual-misconduct-allegations-timeline
Republicans’ healthcare proposal if Trump wins? More private Medicare,The Guardian,https://www.theguardian.com/us-news/2024/oct/26/trump-republican-healthcare-plan-medicare
The media must not cower before Donald Trump | Brief letters,The Guardian,https://www.theguardian.com/us-news/2024/oct/29/the-media-must-not-cower-before-donald-trump
TV tonight: Panorama speaks to Donald Trump supporters ,The Guardian,https://www.theguardian.com/tv-and-radio/2024/oct/28/tv-tonight-panorama-speaks-to-donald-trump-supporters
Trump advisers propose bypassing FBI background checks for appointees,The Guardian,https://www.theguardian.com/us-news/2024/oct/28/trump-fbi-security-clearance-check
Will Donald Trump destroy US democracy? Unlikely | Cas Mudde,The Guardian,https://www.theguardian.com/commentisfree/2024/nov/06/will-trump-destroy-us-democracy
Joe Rogan endorses Donald Trump for president,The Guardian,https://www.theguardian.com/us-news/2024/nov/04/joe-rogan-endorses-donald-trump
Putin commends Trump victory – as it happened,The Guardian,https://www.theguardian.com/us-news/live/2024/nov/07/us-election-2024-live-updates-donald-trump-victory-kamala-harris
Will Trump now save the Chagos Islands? | Brief letters,The Guardian,https://www.theguardian.com/world/2024/nov/15/will-trump-now-save-the-chagos-islands
Trump unbound: inside the 15 November Guardian Weekly,The Guardian,https://www.theguardian.com/news/2024/nov/13/trump-unbound-inside-the-15-november-guardian-weekly
Is Donald Trump a foreign policy dove? If only | Mehdi Hasan,The Guardian,https://www.theguardian.com/commentisfree/2024/nov/13/donald-trump-administration-foreign-policy
Trump picks Howard Lutnick as commerce secretary,The Guardian,https://www.theguardian.com/us-news/2024/nov/19/howard-lutnick-commerce-secretary-trump
Trump hush-money case sentencing postponed indefinitely,The Guardian,https://www.theguardian.com/us-news/2024/nov/22/trump-hush-money-case-sentencing
Merkel: I mistook Trump for ‘someone completely normal’,The Guardian,https://www.theguardian.com/world/2024/nov/21/angela-merkel-i-mistook-donald-trump-for-someone-completely-normal
Seth Meyers on Elon Musk: ‘Donald Trump finally got his own Donald Trump’,The Guardian,https://www.theguardian.com/culture/2024/nov/26/seth-meyers-elon-musk-donald-trump
Trump picks loyalist Kash Patel to run FBI,The Guardian,https://www.theguardian.com/us-news/2024/dec/01/trump-picks-loyalist-kash-patel-to-run-fbi
How does comedy respond to another Trump presidency?,The Guardian,https://www.theguardian.com/tv-and-radio/2024/nov/28/comedy-trump-presidency-response
Can the world’s trade police survive Trump II?,The Guardian,https://www.theguardian.com/world/2024/dec/03/can-the-worlds-trade-police-survive-trump-ii
Mark Zuckerberg seeks ‘active role’ in Trump tech policy ,The Guardian,https://www.theguardian.com/us-news/2024/dec/03/trump-administration-mark-zuckerberg
Arab Americans become prominent voices in US politics – via Trump,The Guardian,https://www.theguardian.com/us-news/2024/dec/08/arab-americans-political-platform-trump
Trump eyes privatizing United States Postal Service during second term,The Guardian,https://www.theguardian.com/business/2024/dec/14/trump-united-states-postal-service-privatization
Immigrant rights groups gear up to fight Trump mass deportation plan,The Guardian,https://www.theguardian.com/us-news/2024/dec/13/trump-deportation-immigration
Scotland lobbies Trump to exclude it from threatened tariffs on whisky,The Guardian,https://www.theguardian.com/us-news/2024/dec/11/trump-scotland-whisky-tariffs
"Trump allies float extreme ideas, including Trump third term, at gala",The Guardian,https://www.theguardian.com/us-news/2024/dec/16/trump-allies-extreme-policies-third-term
Biden reportedly considering preemptive pardons for Trump critics,The Guardian,https://www.theguardian.com/us-news/2024/dec/19/presidential-preemptive-pardon-biden
Trump reiterates anti-immigration promise at rightwing convention rally ,The Guardian,https://www.theguardian.com/us-news/2024/dec/22/trump-speech-rightwing-convention-phoenix
‘What’s the plan?’ Democrats divided over approach towards Trump,The Guardian,https://www.theguardian.com/us-news/2024/dec/23/democrats-trump-president
Americans struggling with student debt expect ‘much worse’ under Trump,The Guardian,https://www.theguardian.com/money/2024/dec/29/student-debt-relief-trump
US student worker unions face threats under second Trump administration,The Guardian,https://www.theguardian.com/us-news/2024/dec/28/trump-student-worker-unions-labor-rights
Trump v the world: Inside the 3 January Guardian Weekly,The Guardian,https://www.theguardian.com/news/2024/dec/31/trump-v-the-world-inside-the-3-january-guardian-weekly
Trump promised to shut down the education department. Is it possible?,The Guardian,https://www.theguardian.com/us-news/2025/jan/04/trump-education-department
Republican-run states see opportunity to push extreme policies under Trump,The Guardian,https://www.theguardian.com/us-news/2025/jan/01/republican-states-trump
Why is Donald Trump talking about annexing Greenland?,The Guardian,https://www.theguardian.com/world/2025/jan/08/why-is-donald-trump-talking-about-annexing-greenland
Silicon Valley’s tycoons are bending the knee to Trump | Blake Montgomery,The Guardian,https://www.theguardian.com/technology/2025/jan/11/trump-silicon-valley
Meta terminates its DEI programs days before Trump inauguration,The Guardian,https://www.theguardian.com/us-news/2025/jan/10/meta-ending-dei-program
Can Donald Trump circumvent a TikTok ban?,The Guardian,https://www.theguardian.com/technology/2025/jan/17/trump-stop-tiktok-ban
Donald Trump reportedly weighing up TikTok ban delay,The Guardian,https://www.theguardian.com/technology/2025/jan/16/tiktok-ban-donald-trump-weighing-up-delay
‘A watershed moment’: how will Labour play Trump 2.0?,The Guardian,https://www.theguardian.com/us-news/2025/jan/18/a-watershed-moment-how-will-labour-play-trump
"Beware, Trump: the American spirit is indefatigable | Moira Donegan",The Guardian,https://www.theguardian.com/commentisfree/2025/jan/20/trump-american-spirit
Trump threatens to scrap emergency agency Fema,The Guardian,https://www.theguardian.com/us-news/2025/jan/24/trump-fema-emergency
Donald Trump and Nigel Farage are not ‘strongmen’ | Brief letters,The Guardian,https://www.theguardian.com/politics/2025/jan/22/donald-trump-and-nigel-farage-are-not-strongmen
